"Código del artículo","Título","DOI o URL","Autor principal","Año de la publicación","Región geográfica  del estudio","Sitio del estudio (País, ciudad o ubicación geográfica)","Tipo de estudio","Grupo especifico poblacional","Periodos de estudio(Fechas)","Tiempo de duración del estudio","Fuente de información del incendio","Año/Periodo del incendio","Localización del incendio","Tipo de vegetación de la quema","Estacionalidad","Intensidad","Extensión (Área quemada)","Clasificación del area de extensión","Numero de incendios","Duración","Distancia al lugar de estudio","Metodología empleada para determinar la trayectoria del incendio","Métodos para establecer el transporte del contamiante","Metodología para establecer la relación entre el incendio contam","Contaminante medido(PM2,5 o  black carbon)","Nivel de exposición (Individual o poblacional)","Unidad de tiempo de medición de la exposición","Forma para establecer la exposición: Técnica de medición (Selecc","¿Cúal?","Tipo de modelación empleada (solo para las aproximaciones por mo","Técnica en función del sitio (en el caso de que sea modelación)","Fuente de información de la exposición (en caso de datos secunda","Concentración estudiada del contaminate","Unidad de análisis","Co-variables de ajuste de la exposición mod","Tamaño de la unidad de análisis","Tipo de evento (Seleccione la opción)","Identificación de casos del evento (morbilidad)","Unidad de tiempo de medición del evento","Fuentes de 0ormación en salud","Tipo de fuente de información en salud (Seleccione la opción )","Método estadístico de análsis usado para establecer la relacion","Edades-Grupos etarios","Evento en salud","Clasificación CIE (Si lo hay)","Código de la CIE (Si lo hay)","Tipo de medida de asociación epidemiologica","Otro (Tipo de medida de asociación epidemiologica)","Co-variables de ajuste","Resultados ajustados","Intervalo de confianza inicio","Intervalo de confianza final","Caracteristicas adicionales del resultado","Temporalidad del rezago","Rezago puntual","Períodos de rezago acumulado","Observaciones"
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","1.18","-2.38","4.87","Periodo No Incendios","Hora","0","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.73","-2.88","4.47","Periodo No Incendios","Hora","1","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","-0.47","-4.18","3.38","Periodo No Incendios","Hora","2","NA",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","1.05","-2.60","4.83","Periodo No Incendios","Hora","NA","0-2",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.60","-3.14","4.47","Periodo No Incendios","Hora","NA","0-3",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.33","-3.51","4.32","Periodo No Incendios","Hora","NA","0-4",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","0.49","-3.70","4.86","Periodo No Incendios","Hora","NA","0-8",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","1.75","-2.75","6.45","Periodo No Incendios","Hora","NA","0-12",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","5.35","-0.25","11.26","Periodo No Incendios","Hora","NA","0-24",""
"PM OCE 007","","http://dx.doi.org/10.1289/ehp.1408436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35-64","Paro cardiaco fuera del hospital","S.I","S.I","","Porcentaje de OR","Temperatura, Humedad relativa","7.80","0.29","15.86","Periodo No Incendios","Hora","NA","0-48",""
